样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
1528,300,,405.0,700,13.5,38.0,,,15.5,100,16.5,102,0.2,17.5,103.0,18.5,104.0,0.2,300,0.5,50.0,9.0,5.0,22.0,75.0,22.5,70,0.5,350.0,3.5,3.5,1.0,8.0,65,11.5,45.0,1.5,1.5,,800.0,0.15,400,0.879
1698,300,,405.0,700,14.0,29.0,,,16.0,101,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,6.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.902
639,300,,405.0,700,14.0,29.0,,,16.0,102,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,0.5,50.0,9.0,5.0,20.0,79.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9359999999999999
483,300,,405.0,700,1.5,38.0,,,3.0,100,4.0,102,0.2,5.0,103.0,6.0,104.0,0.2,200,0.5,50.0,10.0,5.0,7.5,70.0,8.0,78,1.0,290.0,3.5,3.5,1.0,15.5,65,18.0,45.0,1.5,1.5,,800.0,0.15,400,0.902
617,300,,405.0,700,22.0,29.0,,,0.0,101,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,80.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.983
373,300,,405.0,700,2.0,39.0,2.5,80.0,3.5,100,4.5,103,0.2,5.5,104.0,6.5,102.0,0.2,300,0.5,50.0,9.0,5.0,12.0,70.0,12.5,75,0.5,,3.5,3.5,2.0,20.0,65,3.0,45.0,1.5,1.5,,800.0,0.15,420,0.935
577,300,,405.0,700,8.0,29.0,,,10.0,101,11.0,103,0.2,12.0,104.0,13.0,105.0,0.2,200,1.0,50.0,9.0,5.0,14.0,80.0,15.0,73,1.0,320.0,3.5,3.5,1.0,17.0,80,19.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.902
212,300,,405.0,700,6.0,29.0,,,8.0,101,9.0,102,0.2,10.0,103.0,11.0,103.0,0.2,200,1.0,50.0,9.0,5.0,12.0,78.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.8909999999999999
521,300,,405.0,700,17.5,21.0,,,19.0,100,20.0,101,0.2,21.0,102.0,22.0,105.0,0.2,300,0.5,50.0,9.0,5.0,23.5,70.0,0.0,78,1.0,340.0,3.5,3.5,1.5,4.5,65,6.5,45.0,1.5,1.5,,800.0,0.15,420,0.9470000000000001
1026,300,,405.0,700,11.0,21.0,,,12.5,100,13.5,102,0.2,14.5,103.0,15.5,105.0,0.2,200,0.5,50.0,9.0,5.0,17.0,70.0,17.5,78,1.0,280.0,3.5,3.5,1.0,0.0,64,2.0,50.0,1.5,1.5,,800.0,0.15,400,0.902
1743,300,,405.0,700,14.0,29.0,,,16.0,101,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,78.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,78,1.0,45.0,1.5,1.5,1.5,1200.0,0.15,400,0.9359999999999999
1493,300,,405.0,700,21.0,37.0,21.333333333333332,80.0,23.0,100,0.0,102,0.2,1.0,104.0,2.0,103.0,0.2,300,0.5,50.0,9.0,5.0,4.5,75.0,5.0,70,0.5,360.0,3.5,3.5,2.0,15.5,65,21.0,30.0,1.5,1.5,,800.0,0.15,400,0.8909999999999999
1613,300,,405.0,700,11.0,33.0,,,12.5,100,13.5,101,0.2,14.5,103.0,15.5,105.0,0.2,300,1.5,50.0,9.0,5.0,18.0,70.0,18.5,78,1.0,360.0,3.5,3.5,1.5,0.5,65,4.0,50.0,1.5,1.5,,800.0,0.15,400,0.8909999999999999
621,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,102,0.2,10.0,105.0,11.0,104.0,0.2,200,1.0,50.0,9.0,5.0,12.0,78.0,13.0,76,1.0,320.0,3.5,3.5,0.5,15.0,74,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9470000000000001
1269,300,,405.0,700,6.0,29.0,,,8.0,101,9.0,103,0.2,10.0,104.0,11.0,105.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.925
1037,300,,405.0,700,21.0,21.0,,,22.5,100,23.5,102,0.2,0.5,104.0,1.5,105.0,0.2,200,0.5,50.0,9.0,5.0,3.0,70.0,3.5,78,1.0,300.0,3.5,3.5,1.5,10.0,65,13.0,45.0,1.5,1.5,,800.0,0.15,400,0.902
1736,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,105.0,11.0,107.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,72,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.971
97,300,,405.0,700,16.0,29.0,,,18.0,102,19.0,104,0.2,20.0,105.0,21.0,106.0,0.2,200,1.0,50.0,9.0,5.0,22.0,80.0,23.0,73,1.0,320.0,3.5,3.5,1.0,1.0,80,21.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.902
642,300,,405.0,700,14.0,29.0,,,16.0,101,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9129999999999999
179,300,,405.0,700,14.0,29.0,,,16.0,101,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,78.0,21.0,72,1.0,1200.0,0.15,3.5,1.0,23.0,78,1.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.925
759,300,,405.0,700,4.5,27.0,,,6.5,102,7.5,104,0.2,8.5,105.0,9.5,105.0,0.2,200,1.0,50.0,9.0,5.0,10.5,80.0,11.5,73,1.0,320.0,3.5,3.5,1.0,13.5,80,15.5,45.0,3.5,,,1200.0,0.15,440,0.93
812,300,,405.0,700,6.0,30.0,,,8.0,102,9.0,104,0.2,10.0,105.0,11.0,106.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,4.0,,,1200.0,0.15,440,0.93
1395,300,,405.0,700,14.0,30.0,,,16.0,102,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,1.0,45.0,4.0,,,1200.0,0.15,440,0.93
922,300,,405.0,700,19.5,38.0,19.666666666666668,80.0,21.0,100,22.0,102,0.2,23.0,103.0,0.0,102.0,0.2,300,0.5,50.0,10.0,5.0,7.5,70.0,8.0,75,0.5,370.0,3.5,3.5,2.0,17.0,45,21.0,40.0,1.5,1.5,,800.0,0.15,420,0.9470000000000001
514,300,,405.0,700,11.0,26.0,,,12.5,100,13.5,101,0.2,14.5,103.0,15.5,105.0,0.2,300,0.5,50.0,9.0,5.0,17.0,70.0,17.5,78,1.0,340.0,3.5,3.5,1.5,3.0,65,8.0,45.0,1.5,1.5,,800.0,0.15,420,0.935
72,300,,405.0,700,22.0,30.0,,,0.0,101,1.0,103,0.2,2.0,105.0,3.0,107.0,0.2,200,1.0,50.0,9.0,5.0,4.0,80.0,5.0,72,1.0,320.0,3.5,3.5,1.0,7.0,78,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.971
1344,300,,405.0,700,6.0,30.0,,,8.0,102,9.0,104,0.2,10.0,105.0,11.0,106.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,4.0,,,1200.0,0.15,440,0.93
582,300,,405.0,700,9.5,20.0,,,11.5,101,12.5,102,0.2,13.5,104.0,14.5,105.0,0.2,200,1.0,50.0,9.0,5.0,15.5,90.0,16.0,78,1.0,330.0,3.5,3.5,1.0,18.5,65,19.5,45.0,1.0,0.5,,1200.0,0.15,420,0.935
1002,300,,405.0,700,14.0,21.0,,,15.0,100,16.0,101,0.2,17.0,102.0,18.0,103.0,0.2,200,0.5,50.0,9.0,5.0,18.5,70.0,19.0,78,1.0,300.0,3.5,3.5,1.5,21.5,60,4.0,39.0,1.5,1.0,,800.0,0.15,380,0.878
1079,300,,405.0,700,1.0,27.0,,,2.5,100,3.5,101,0.2,4.5,103.0,5.5,105.0,0.2,300,0.5,50.0,10.0,5.0,9.5,70.0,10.0,78,1.0,350.0,3.5,3.5,1.5,19.0,65,22.0,45.0,1.5,1.5,,800.0,0.15,400,0.902
484,300,,405.0,700,11.0,21.0,,,12.5,100,13.5,102,0.2,14.5,104.0,15.5,105.0,0.2,200,0.5,50.0,9.0,5.0,17.0,70.0,17.5,78,1.0,290.0,3.5,3.5,1.5,0.5,65,3.5,45.0,1.5,1.5,,800.0,0.15,400,0.902
1823,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,105.0,11.0,107.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,79,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9359999999999999
